Date,SKU,daily_sales,rolling_mean_7,rolling_std_7,demand_change,volatility_ratio,forecast_error,ghost_flag,ghost_demand
2022-05-03,JNE3440-KR-N-M,7,2.7142857142857144,2.2146697055682827,6.0,0.8159306435507091,6.0,-1,1
2022-05-24,JNE3440-KR-XL,6,3.142857142857143,3.532165125838609,5.0,1.1238703642626233,5.0,-1,1
2022-04-22,JNE3468-KR-L,9,3.7142857142857144,2.690370836538197,8.0,0.7243304148251721,8.0,-1,1
2022-04-09,JNE3567-KR-L,10,6.285714285714286,3.498298906339371,1.0,0.5565474647396215,5.0,-1,1
2022-04-13,JNE3567-KR-L,12,6.428571428571429,3.408672412985387,1.4,0.5302378484273949,7.0,-1,1
2022-04-14,JNE3567-KR-L,3,6.0,3.6514837167011076,-0.75,0.6085805180200983,-9.0,-1,1
2022-04-23,JNE3567-KR-L,5,5.142857142857143,3.4364987719368982,4.0,0.6682079646139593,4.0,-1,1
2022-04-11,JNE3567-KR-M,3,7.571428571428571,2.760262237369417,-0.7,0.36456288886123955,-7.0,-1,1
2022-04-21,JNE3567-KR-M,8,3.142857142857143,2.794552524023089,7.0,0.8891755201787718,7.0,-1,1
2022-05-09,JNE3567-KR-M,6,2.4285714285714284,1.9023794624226846,5.0,0.7833323972724713,5.0,-1,1
2022-05-26,JNE3567-KR-M,9,2.4285714285714284,2.9920529661723836,2.0,1.2320213022975042,6.0,-1,1
2022-05-27,JNE3567-KR-M,2,2.5714285714285716,2.9358214555806397,-0.7777777777777778,1.1417078998393986,-7.0,-1,1
2022-04-09,JNE3567-KR-XL,6,6.571428571428571,5.472876844254852,0.5,0.8328289582604621,2.0,-1,1
2022-04-10,JNE3567-KR-XL,1,6.428571428571429,5.623081683476385,-0.8333333333333334,0.8747014591427662,-5.0,-1,1
2022-04-13,JNE3567-KR-XL,4,6.857142857142857,5.2417736002416655,3.0,0.7644252052232339,3.0,-1,1
2022-04-15,JNE3567-KR-XL,1,6.285714285714286,5.677860093212515,-0.75,0.903295780214026,-3.0,-1,1
2022-04-16,JNE3567-KR-XL,4,4.571428571428571,3.735288603626357,3.0,0.8170942033039087,3.0,-1,1
2022-04-29,JNE3567-KR-XL,6,3.142857142857143,2.2677868380553607,5.0,0.7215683097913344,5.0,-1,1
2022-05-02,JNE3568-KR-M,9,3.4285714285714284,2.878491668515698,1.25,0.8395598251121296,5.0,-1,1
2022-05-28,JNE3568-KR-XL,5,2.4285714285714284,2.507132682112037,4.0,1.0323483263732927,4.0,-1,1
2022-04-14,JNE3613-KR-XL,6,1.7142857142857142,1.889822365046136,5.0,1.1023957365460666,5.0,-1,1
2022-06-04,JNE3613-KR-XL,6,1.8571428571428572,1.864454471471608,5.0,1.0039364825189137,5.0,-1,1
2022-06-01,JNE3619-KR-L,8,2.142857142857143,2.6095064302514777,7.0,1.2177690991584433,7.0,-1,1
2022-06-16,JNE3619-KR-XL,6,2.142857142857143,1.7728105208558367,5.0,0.8273111903208349,5.0,-1,1
2022-06-01,JNE3703-KR-XL,7,2.4285714285714284,2.0701966780270626,2.5,0.8524335752443771,5.0,-1,1
2022-06-06,JNE3721-KR-XL,7,4.571428571428571,2.2253945610567474,2.5,0.48680495374257987,5.0,-1,1
2022-04-30,JNE3721-KR-XXL,6,2.0,1.8257418583505536,5.0,0.9128704727400404,5.0,-1,1
2022-06-05,JNE3781-KR-XL,6,2.4285714285714284,1.8126539343499313,5.0,0.7463866068084277,5.0,-1,1
2022-06-08,JNE3781-KR-XXL,6,2.4285714285714284,1.8126539343499313,5.0,0.7463866068084277,5.0,-1,1
2022-06-16,JNE3797-KR-A-M,14,7.0,3.785938897200183,0.75,0.5408483366216923,6.0,-1,1
2022-06-20,JNE3797-KR-A-M,4,7.285714285714286,3.4016802570830458,-0.7142857142857143,0.466897226103936,-10.0,-1,1
2022-06-21,JNE3797-KR-A-M,7,7.714285714285714,3.0937725468153885,0.75,0.40104453741473994,3.0,-1,1
2022-06-25,JNE3797-KR-A-M,4,6.0,4.203173404306165,3.0,0.7005287839628969,3.0,-1,1
2022-06-26,JNE3797-KR-A-M,9,6.142857142857143,4.2983939414844805,1.25,0.6997384347028446,5.0,-1,1
2022-06-18,JNE3797-KR-A-S,9,4.285714285714286,2.2146697055682827,3.5,0.5167561440561657,7.0,-1,1
2022-05-19,JNE3797-KR-L,18,6.285714285714286,5.52914356581818,2.6,0.8796363364380206,13.0,-1,1
2022-05-20,JNE3797-KR-L,7,6.142857142857143,5.4902511001644685,-0.6111111111111112,0.8937616615074336,-11.0,-1,1
2022-05-24,JNE3797-KR-L,4,6.428571428571429,5.287001130355559,-0.4285714285714286,0.822422270122956,-3.0,-1,1
2022-05-26,JNE3797-KR-L,1,6.142857142857143,5.550632739564366,-0.75,0.903591229111906,-3.0,-1,1
2022-06-08,JNE3797-KR-L,18,4.0,6.271629240742261,8.0,1.5679069182088357,16.0,-1,1
2022-06-09,JNE3797-KR-L,21,6.428571428571429,8.978811035936085,0.16666666666666674,1.3967037216583675,3.0,-1,1
2022-06-10,JNE3797-KR-L,6,7.142857142857143,8.668497975016038,-0.7142857142857143,1.2135895465997086,-15.0,-1,1
2022-06-14,JNE3797-KR-L,1,7.142857142857143,8.668497975016038,-0.8333333333333334,1.2135895465997086,-5.0,-1,1
2022-06-24,JNE3797-KR-L,23,10.285714285714286,9.961831921795069,22.0,0.9685113426803622,22.0,-1,1
2022-06-25,JNE3797-KR-L,16,12.428571428571429,9.216961590045873,-0.30434782608695654,0.7415945510248191,-7.0,-1,1
2022-06-26,JNE3797-KR-L,27,16.0,9.345230512584124,0.6875,0.5840768705317033,11.0,-1,1
2022-06-27,JNE3797-KR-L,3,13.857142857142858,10.46308704332476,-0.8888888888888888,0.7550680826576984,-24.0,-1,1
2022-05-19,JNE3797-KR-M,12,3.857142857142857,3.804758924845367,11.0,0.9864187247772775,11.0,-1,1
2022-05-20,JNE3797-KR-M,15,5.428571428571429,5.68205194324324,0.25,1.0466935862065152,3.0,-1,1
2022-05-24,JNE3797-KR-M,1,5.285714285714286,5.79408565447807,-0.9333333333333333,1.0961781596783613,-14.0,-1,1
2022-05-26,JNE3797-KR-M,25,8.428571428571429,9.271050693011064,24.0,1.0999550364642745,24.0,-1,1
2022-05-27,JNE3797-KR-M,4,8.428571428571429,9.271050693011064,-0.84,1.0999550364642745,-21.0,-1,1
2022-05-29,JNE3797-KR-M,1,8.428571428571429,9.271050693011064,-0.75,1.0999550364642745,-3.0,-1,1
2022-05-30,JNE3797-KR-M,1,8.428571428571429,9.271050693011064,0.0,1.0999550364642745,0.0,-1,1
2022-06-01,JNE3797-KR-M,1,6.857142857142857,9.494359227607577,0.0,1.3845938521061683,0.0,-1,1
2022-06-02,JNE3797-KR-M,1,4.857142857142857,8.952254305081885,0.0,1.843110800994047,0.0,-1,1
2022-06-04,JNE3797-KR-M,1,4.857142857142857,8.952254305081885,0.0,1.843110800994047,0.0,-1,1
2022-06-05,JNE3797-KR-M,12,3.0,4.1231056256176615,11.0,1.374368083749859,11.0,-1,1
2022-06-06,JNE3797-KR-M,16,4.714285714285714,6.447590912226719,0.33333333333333326,1.367670509451317,4.0,-1,1
2022-06-07,JNE3797-KR-M,3,5.0,6.298147875897061,-0.8125,1.2596293232535474,-13.0,-1,1
2022-06-08,JNE3797-KR-M,1,5.0,6.298147875897061,-0.6666666666666667,1.2596293232535474,-2.0,-1,1
2022-06-10,JNE3797-KR-M,5,5.571428571428571,6.051367417290708,4.0,1.0861426748214418,4.0,-1,1
2022-06-13,JNE3797-KR-M,1,5.571428571428571,6.051367417290708,-0.8,1.0861426748214418,-4.0,-1,1
2022-05-18,JNE3797-KR-S,14,4.428571428571429,5.061526214398936,6.0,1.142925016139272,12.0,-1,1
2022-05-19,JNE3797-KR-S,14,6.285714285714286,5.908025211926732,0.0,0.9399129523658285,0.0,-1,1
2022-05-20,JNE3797-KR-S,8,7.142857142857143,5.610364558225292,-0.4285714285714286,0.7854509281884109,-6.0,-1,1
2022-05-21,JNE3797-KR-S,12,8.571428571428571,5.349677337844557,0.5,0.6241289499334876,4.0,-1,1
2022-05-22,JNE3797-KR-S,1,7.428571428571429,6.0513674172907095,-0.9166666666666666,0.8146070426689551,-11.0,-1,1
2022-05-27,JNE3797-KR-S,19,8.142857142857142,7.151423434733616,18.0,0.8782448753582665,18.0,-1,1
2022-05-28,JNE3797-KR-S,15,8.285714285714286,7.296444013222827,-0.21052631578947367,0.8806052056607474,-4.0,-1,1
2022-05-29,JNE3797-KR-S,8,8.285714285714286,7.296444013222827,-0.4666666666666667,0.8806052056607474,-7.0,-1,1
2022-05-30,JNE3797-KR-S,4,7.142857142857143,7.244045173533258,-0.5,1.0141661823113906,-4.0,-1,1
2022-06-02,JNE3797-KR-S,3,7.428571428571429,6.9965978126787425,-0.25,0.9418495787654643,-1.0,-1,1
2022-06-04,JNE3797-KR-S,2,7.428571428571429,6.9965978126787425,-0.33333333333333337,0.9418495787654643,-1.0,-1,1
2022-06-05,JNE3797-KR-S,1,7.428571428571429,6.9965978126787425,-0.5,0.9418495787654643,-1.0,-1,1
2022-06-27,JNE3797-KR-S,9,2.5714285714285716,2.93582145558064,2.0,1.1417078998393988,6.0,-1,1
2022-06-28,JNE3797-KR-S,16,4.571428571428571,5.8268671644701975,0.7777777777777777,1.2746269134032184,7.0,-1,1
2022-06-29,JNE3797-KR-S,4,5.0,5.627314338711378,-0.75,1.1254626426497472,-12.0,-1,1
2022-05-26,JNE3797-KR-XL,15,5.857142857142857,5.429197958832453,14.0,0.9269360786164542,14.0,-1,1
